,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
151,Erik,Luna,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,Arizona State University,http://asu.edu,asu.edu
152,Glynn S.,Lunney,NA,Tulane University,http://tulane.edu,tulane.edu,Texas A&M University,http://tamu.edu,tamu.edu
153,Timothy,Lytton,NA,Albany Law School,https://www.albanylaw.edu/,albanylaw.edu,Georgia State University,http://gsu.edu,gsu.edu
154,Bruce,Markell,NA,Florida State University,http://fsu.edu,fsu.edu,Northwestern University,http://northwestern.edu,northwestern.edu
155,Andrei,Marmor,NA,University of Southern California,http://usc.edu,usc.edu,Cornell University,http://cornell.edu,cornell.edu
156,Ajay,Mehrotra,NA,"Indiana University, Bloomington",http://iub.edu,iub.edu,Northwestern University,http://northwestern.edu,northwestern.edu
157,Timothy,Meyer,NA,University of Georgia,http://uga.edu,uga.edu,Vanderbilt University,http://vanderbilt.edu,vanderbilt.edu
158,Douglas,NeJaime,NA,"University of California, Irvine",http://uci.edu,uci.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu
159,Paul,Ohm,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,Georgetown University,http://georgetown.edu,georgetown.edu
160,Dave,Owen,NA,University of Maine,http://umaine.edu,umaine.edu,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu
161,Mary-Rose,Papandrea,NA,Boston College,http://bc.edu,bc.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu
162,Dylan,Penningroth,NA,Northwestern University ,https://www.northwestern.edu/,northwestern.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
163,Scott,Pryor,NA,Regent University,http://regent.edu,regent.edu,Campbell University,http://campbell.edu,campbell.edu
164,Srividhya,Ragavan,NA,"University of Oklahoma, Norman",www.ou.edu/,ou.edu,Texas A&M University,http://tamu.edu,tamu.edu
165,Erin,Ryan,NA,Lewis & Clark College,https://www.lclark.edu/,lclark.edu,Florida State University,http://fsu.edu,fsu.edu
166,James,Salzman,NA,Duke University,http://duke.edu,duke.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu
167,David,Schwartz,NA,Chicago-Kent College of Law,www.uh.edu/,uh.edu,Northwestern University,http://northwestern.edu,northwestern.edu
168,Jessica,Silbey,NA,Suffolk University,http://suffolk.edu,suffolk.edu,Northeastern University,http://northeastern.edu,northeastern.edu
169,Kenneth,Simons,NA,Boston University,http://bu.edu,bu.edu,"University of California, Irvine",http://uci.edu,uci.edu
170,Alan O.,Sykes,NA,New York University,http://nyu.edu,nyu.edu,Stanford University,http://stanford.edu,stanford.edu
171,Eric,Talley,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Columbia University,http://columbia.edu,columbia.edu
172,Steve,Vladeck,NA,American University,http://american.edu,american.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
173,Peter,Yu,NA,Drake University,http://drake.edu,drake.edu,Texas A&M University,http://tamu.edu,tamu.edu
174,Kathryn,Zeiler,NA,Georgetown University,http://georgetown.edu,georgetown.edu,Boston University,http://bu.edu,bu.edu
