Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The Devil, the Details, and the Dawn of the 21st Century Administrative State: Beyond the New Deal [article]","Zellmer, Sandra B. (Cited 235 times)",7177,"Arizona State Law Journal, Vol. 32, Issue 3 (Fall 2000), pp. 941-1050",32 Ariz. St. L.J. 941 (Fall 2000),"New Deal, History, Legislation, Statutory Construction",66,na,11
Sustaining Geographies of Hope: Cultural Resources on Public Lands [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"University of Colorado Law Review, Vol. 73, Issue 2 (2002), pp. 413-520",73 U. Colo. L. Rev. 413 (2002),"Indian Law, Religion, Religious Freedom, Land Use",38,na,na
Unbundling Property in Water [article],"Zellmer, Sandra B. (Cited 235 times); Harder, Jessica (Cited 36 times)",7177,"Alabama Law Review, Vol. 59, Issue 3 (2008), pp. 679-746",59 Ala. L. Rev. 679 (2007-2008),"Property, Water, History",37,1,22
Mississippi River Stories: Lessons from a Century of Unnatural Disasters [article],"Klein, Christine A. (Cited 412 times); Zellmer, Sandra B. (Cited 235 times)",7177,"SMU Law Review, Vol. 60, Issue - 4 (Fall 2007), pp. 1471-1538",60 S.M.U. L. Rev. 1471 (2007),"Constitutional Law, Disasters, Insurance, Legislation",29,na,6
A New Corps of Discovery for Missiouri River Management [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"Nebraska Law Review, Vol. 83, Issue 2 (2004), pp. 305-361",83 Neb. L. Rev. 305 (2004-2005),"Discovery, Administration Law, Water, Engineers, Indian Law",22,na,4
The Virtues of Command and Control Regulation: Barring Exotic Species from Aquatic Ecosystems [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"University of Illinois Law Review, Vol. 2000, Issue 4 (2000), pp. 1233-1286",2000 U. Ill. L. Rev. 1233 (2000),"Administration Law, Regulation, Admiralty Law, Law of the Sea, Water, Agency, Environment, Environmental Protection, Nuisance, States",19,na,8
Biodiversity in and around McElligot's Pool [article],"Zellmer, Sandra B. (Cited 235 times); Johnson, Scott A. (Cited 34 times)",7177,"Idaho Law Review, Vol. 38, Issue 2 (2002), pp. 473-504",38 Idaho L. Rev. 473 (2001-2002),"Biodiversity, Conservation, Credit, Natural Resources Law, Easements, Environment",10,na,na
Wilderness Management in National Parks and Wildlife Refuges [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"Environmental Law, Vol. 44, Issue 2 (Spring 2014), pp. 497-548",44 Envtl. L. 497 (2014),"Wildlife, Environment",7,na,15
"Takings, Torts, and Background Principles [article]","Zellmer, Sandra B. (Cited 235 times)",7177,"Wake Forest Law Review, Vol. 52, Issue 1 (2017), pp. 193-240",52 Wake Forest L. Rev. 193 (2017),"Disaster Law, Takings, Torts, Government, States",6,na,20
Enjoy the Donut: A Regulatory Response to the White Paper on Preventing Invasion of the Great Lakes by Exotic Species [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"Toledo Journal of Great Lakes' Law, Science & Policy, Vol. 2, Issue 2 (Spring 2000), pp. 207-244",2 Tol. J. Great Lakes' L. Sci. & Pol'y 207 (1999-2000),"Administration Law, Admiralty Law, Environment, International Law",2,na,na
Is Water Property [article],"Zellmer, Sandra B. (Cited 235 times); Harder, Jessica (Cited 36 times)",7177,"Nebraska Lawyer, Vol. 2007, Issue 3 (March 2007), pp. 5-12",2007 Neb. Law. 5 (2007),"Criminal Law and Procedure, Law Enforcement and Corrections, Law and Society",na,na,na
Mitigating Malheur's Misfortunes: The Public Interest in the Public's Public Lands [article],"Zellmer, Sandra B. (Cited 235 times)",7177,"Georgetown Environmental Law Review, Vol. 31, Issue 3 (Spring 2019), pp. 509-562",31 Geo. Int'l Envtl. L. Rev. 509 (2018-2019),na,na,na,na
